# Fields: Name	IMDB ID	Wikipedia	Chortle ID	Gender
Ashley Walters	nm0910180	Ashley_Walters		male
Ashton Irwin		5_Seconds_of_Summer		male
Ashton Sims		Ashton_Sims		male
Asmir Begovic		Asmir_Begovi%C4%87		male
Aston Merrygold		Aston_Merrygold		male
Athene Donald		Athene_Donald		female
Auberon Waugh		Auberon_Waugh		male
Aude Doody				female
Audrey Slaughter				female
Austin Healey		Austin_Healey		male
Austin Mitchell		Austin_Mitchell		male
Austin Stevens	nm1734420	Austin_Stevens		male
Ava Vidal	nm1745810	Ava_Vidal	507	female
Ayden Callaghan	nm2099061	Ayden_Callaghan		male
Ayesha Dharker	nm0223499	Ayesha_Dharker		female
BJ Novak	nm1145983	B._J._Novak		male
Barak Kushner				male
Barbara Alleyn				female
Barbara Amiel		Barbara_Amiel		female
Barbara Blake				female
Barbara Blake Nadine				female
Barbara Castle		Barbara_Castle		female
Barbara Dickson		Barbara_Dickson		female
Barbara Follett				female
Barbara Kellerman	nm0445808	Barbara_Kellerman		female
Barbara Kelly	nm0446200	Barbara_Kelly		female
Barbara Murray	nm0614843	Barbara_Murray		female
Barbara Roche		Barbara_Roche		female
Barbara Stocking		Barbara_Stocking		female
Barbara Switzer				female
Barbara Taylor		Barbara_Taylor		female
Barbara Taylor Bradford		Barbara_Taylor_Bradford		female
Barbara Windsor	nm0934774	Barbara_Windsor		female
Barbara Wootton		Barbara_Wootton,_Baroness_Wootton_of_Abinger		female
Barbara Young				female
Barney Hayhoe		Barney_Hayhoe,_Baron_Hayhoe		male
Baroness Brinton		Sal_Brinton		female
Baroness Castle of Blackburn		Barbara_Castle		female
Baroness Trumpington		Jean_Barker,_Baroness_Trumpington		female
Barry Cryer	nm0190540	Barry_Cryer	154	male
Barry Cunliffe		Barry_Cunliffe		male
Barry Fantoni		Barry_Fantoni		male
Barry Foster				male
Barry Humphries	nm402032	Barry_Humphries	33214	male
Barry Ife				male
Barry Jackson				male
Barry Marshall		Barry_Marshall		
Barry McGuigan		Barry_McGuigan		male
Barry Mizen				male
Barry Norman	nm0635447	Barry_Norman		male
Barry Smith				male
Barry Took	nm0867458	Barry_Took	635	male
Barunka O'Shaughnessy				female
Bashabi Fraser				female
Basil Boothroyd		Basil_Boothroyd		male
Basil Hiley		Basil_Hiley		male
Basshunter		Basshunter		male
Baz Bamigboye	nm1055067	Baz_Bamigboye		male
Bea Campbell		Beatrix_Campbell		female
Bear Grylls	nm2426012	Bear_Grylls		male
Beatrice Han-Pile				female
Beatrice Heuser		Beatrice_Heuser		female
Beatrix Campbell		Beatrix_Campbell		female
Beau Lotto				male
Becky Downie		Becky_Downie		female
Becky Measures		Becky_Measures		female
Becky Tinsley				female
Bel Mooney		Bel_Mooney		female
Belinda Beaton				female
Belinda Carlisle	nm137594	Belinda_Carlisle		female
Belinda Carroll		Belinda_Carroll		female
Belinda Jones				female
Belinda Lang	nm0485689	Belinda_Lang		female
Ben Adams		Ben_Adams		male
Ben Ainslie		Ben_Ainslie		male
Ben Bradshaw		Ben_Bradshaw		male
Ben Brooks-Dutton				male
Ben Brown				male
Ben Clark			2843	male
Ben Cohen				male
Ben Elton	nm255780	Ben_Elton	418	male
Ben Foden		Ben_Foden		male
Ben Fogle	nm0283938	Ben_Fogle		male
Ben Foster	nm4936	Ben_Foster		male
Ben Goldacre		Ben_Goldacre		male
Ben Haenow	nm6765671	Ben_Haenow		male
Ben Hanlin		Ben_Hanlin		male
Ben Hull	nm0401406	Ben_Hull		male
Ben Inman		The_Choirboys_(boyband)		male
Ben Kay		Ben_Kay		male
Ben Miller	nm0587950	Ben_Miller	33305	male
Ben Norris		Ben_Norris	190	male
Ben Ofoedu		Ben_Ofoedu		male
Ben Pimlott		Ben_Pimlott		male
Ben Price	nm0992699	Ben_Price		male
Ben Richards				male
Ben Shephard	nm1400023	Ben_Shephard		male
Ben Thapa		Ben_Thapa		male
Ben Volpeliere-Pierrot		Curiosity_Killed_the_Cat		male
Ben Youngs		Ben_Youngs		male
Benazir Bhutto		Benazir_Bhutto		female
Benedict Brogan		Benedict_Brogan		male
Benedict Cumberbatch	nm1212722	Benedict_Cumberbatch		male
Benedict O'Donohoe				male
Benet Salway		Benet_Salway		male
Benjamin Zephaniah		Benjamin_Zephaniah		male
Benni McCarthy		Benni_McCarthy		male
Bernard Braden	nm0102946	Bernard_Braden		male
Bernard Carr		Bernard_Carr		male
Bernard Cribbins	nm0187754	Bernard_Cribbins		male
Bernard Donoughue		Bernard_Donoughue,_Baron_Donoughue		male
Bernard Falk		Bernard_Falk		male
Bernard Hepton	nm0378404	Bernard_Hepton		male
Bernard Ingham		Bernard_Ingham		male
Bernard Jenkin		Bernard_Jenkin		male
Bernard Levin		Bernard_Levin		male
Bernard Weatherill		Bernard_Weatherill		male
Bernard Williams		Bernard_Williams		male
Bernie Grant		Bernie_Grant		male
Bernie Nolan	nm0634221	Bernie_Nolan		female
Beryl Platt				female
Beryl Reid	nm0717189	Beryl_Reid		female
Beth Cordingly		Beth_Cordingly		female
Beth Tweddle		Beth_Tweddle		female
Bette Midler	nm541	Bette_Midler		female
Bettine Le Beau	nm0494050	Bettina_Le_Beau		female
Betty Boo		Betty_Boo		female
Betty Boothroyd		Betty_Boothroyd		female
Betty Marsden	nm0550429	Betty_Marsden		female
Beverley Callard	nm0130316	Beverley_Callard		female
Beverley Craven		Beverley_Craven		female
Beverley Hughes		Beverley_Hughes		female
Beverley Knight		Beverley_Knight		female
Beverley Turner	nm0877411	Beverley_Turner		female
Beverly Malone		Beverly_Malone		female
Bharti Patel				female
